"agencyName","county","agencyType"
"SCOTLAND NECK POLICE DEPT","Halifax County","Police"
"SEABOARD POLICE DEPT","Northampton County","Police"
"SILER CITY POLICE DEPT","Chatham County","Police"
"SMITHFIELD POLICE DEPT","Johnston County","Police"
"SOUTHERN SHORES POLICE DEPT","Dare County","Police"
"SPARTA POLICE DEPT","Alleghany County","Police"
"SPENCER POLICE DEPT","Rowan County","Police"
"SPINDALE POLICE DEPT","Rutherford County","Police"
"SPRING LAKE POLICE DEPT","Cumberland County","Police"
"SPRUCE PINE POLICE DEPT","Mitchell County","Police"
"STALLINGS POLICE DEPT","Mecklenburg County, Union County","Police"
"STANFIELD POLICE DEPT","Stanly County","Police"
"STANLY COUNTY SHERIFF DEPT","Stanly County","Sheriff"
"STANTONSBURG POLICE DEPT","Wilson County","Police"
"STATESVILLE POLICE DEPT","Iredell County","Police"
"STEM POLICE DEPT","Granville County","Police"
"SUGAR MOUNTAIN POLICE DEPT","Avery County","Police"
"SURF CITY POLICE DEPT","Onslow County, Pender County","Police"
"SURRY COUNTY SHERIFF DEPT","Surry County","Sheriff"
"SWANSBORO POLICE DEPT","Onslow County","Police"
"TABOR CITY POLICE DEPT","Columbus County","Police"
"TAYLORSVILLE POLICE DEPT","Alexander County","Police"
"THOMASVILLE POLICE DEPT","Davidson County, Randolph County","Police"
"TOPSAIL BEACH POLICE DEPT","Pender County","Police"
"TRANSYLVANIA COUNTY SHERIFF DEPT","Transylvania County","Sheriff"
"TROUTMAN POLICE DEPT","Iredell County","Police"
"TROY POLICE DEPT","Montgomery County","Police"
"TRYON POLICE DEPT","Polk County","Police"
"UNION COUNTY SHERIFF DEPT","Union County","Sheriff"
"UNIV OF NC ASHEVILLE POLICE","Universities","Police"
"UNIV OF NC GREENSBORO POLICE DEPT","Universities","Police"
"US DHS ICE WINSTON SALEM","Federal","Federal"
"US DOI NPS BLUE RIDGE","Federal","Federal"
"US DOJ DEA RALEIGH","Federal","Federal"
"US DOJ PRISON BUR FCI BUTNER","Federal","Federal"
"US FISH AND WILDLIFE SERVICE","Federal","Federal"
"USDA FOREST SERVICE LEI NEW BERN","Federal","Federal"
"VALDESE POLICE DEPT","Burke County","Police"
"VANCE COUNTY SHERIFF DEPT","Vance County","Sheriff"
"VASS POLICE DEPT","Moore County","Police"
"WADESBORO POLICE DEPT","Anson County","Police"
"WAKE COUNTY SHERIFF DEPT","Wake County","Sheriff"
"WAKE FOREST POLICE DEPT","Franklin County, Wake County","Police"
"WAKEMED CAMPUS POLICE","Wake Med Campus Police","Police"
"WALLACE POLICE DEPT","Duplin County, Pender County","Police"
"WALNUT COVE POLICE DEPT","Stokes County","Police"
"WARRENTON POLICE DEPT","Warren County","Police"
"WASHINGTON COUNTY SHERIFF DEPT","Washington County","Sheriff"
"WASHINGTON POLICE DEPT","Beaufort County","Police"
"WATAUGA COUNTY SHERIFF DEPT","Watauga County","Sheriff"
"WAYNE COUNTY SHERIFF OFFICE","Wayne County","Sheriff"
"WAYNESVILLE POLICE DEPT","Haywood County","Police"
"WELDON POLICE DEPT","Halifax County","Police"
"WESTERN CAROLINA UNIV POLICE DEPT","Universities","Police"
"WHITAKERS POLICE DEPT","Edgecombe County, Nash County","Police"
"WHITEVILLE POLICE DEPT","Columbus County","Police"
"WILKES COUNTY SHERIFF DEPT","Wilkes County","Sheriff"
"WILLIAMSTON POLICE DEPT","Martin County","Police"
"WILMINGTON POLICE DEPT","New Hanover County","Police"
"WINDSOR POLICE DEPT","Bertie County","Police"
"WINFALL POLICE DEPT","Perquimans County","Police"
"WINGATE POLICE DEPT","Union County","Police"
"WINSTON SALEM POLICE DEPT","Forsyth County","Police"
"WINTERVILLE POLICE DEPT","Pitt County","Police"
"WOODFIN POLICE DEPT","Buncombe County","Police"
"WRIGHTSVILLE BEACH POLICE DEPT","New Hanover County","Police"
"YADKIN COUNTY SHERIFF DEPT","Yadkin County","Sheriff"
"YADKINVILLE POLICE DEPT","Yadkin County","Police"
"YANCEY COUNTY SHERIFF DEPT","Yancey County","Sheriff"
"YOUNGSVILLE POLICE DEPT","Franklin County","Police"
"ZEBULON POLICE DEPT","Johnston County, Wake County","Police"
